"JID","annotation_priority","contract_price_selected","contract_score","delay_days_selected","delay_score","claimed_penalty_selected","claimed_score","allowed_penalty_selected","allowed_score","is_reduced","ratio_valid"
"KSDV,109,訴,1349,20210122,4","1","482000","12","31","7","10822000","21","970000","27","1","1"
"MLDV,109,建,21,20210128,1","2","6662415","-3","250","6","6662415","21","6662415","27","0","1"
"TPHV,108,建上,20,20210331,1","3","36928000","20","929","12","40700003","15","2564100","27","1","1"
"TCHV,108,建上,22,20210421,1","4","246","20","218","13","19920000","7","10433610","22","1","1"
"TCDV,109,建,95,20210415,1","5","","","50","12","600000","15","","","1","0"
"TNHV,109,建上更一,3,20210420,1","6","28051067","20","88","12","28051067","15","2468488","27","1","1"
"CHDV,110,建,4,20210430,1","7","183748572","15","86","12","1422214","21","1422214","27","0","1"
"TNHV,106,建上,8,20210408,1","8","115680","20","54","7","4232075","21","3856000","27","1","1"
"TPHV,108,建上,80,20210519,3","9","89935478","20","28","6","89935478","21","89935478","22","0","1"
"TPDV,109,建,376,20210528,1","10","18062990","0","376","18","9033281","21","9033281","27","0","1"
"CHDV,108,建,3,20210621,1","11","4262175","0","94","13","5499846","21","5499846","27","0","1"
"TPDV,107,建,379,20211125,1","12","73400000","20","45","18","3419568","21","3419568","27","0","1"
"PCDV,107,建,2,20211221,1","13","28892899","5","262","12","4057057","21","1400893","22","1","1"
"CHDV,107,建,30,20211222,1","14","2666225773","20","307","12","818531312","21","34293685","27","1","1"
"TPDV,105,建,400,20211227,1","15","64808307","0","383","1","64808307","6","64808307","22","0","1"
"TPDV,107,建,335,20211229,2","16","2999990","20","19","7","88575000","21","69841893","27","1","1"
"KSHV,109,建上,26,20220309,1","17","15050756","20","210","18","16067589","21","12007487","27","1","1"
"TCDV,107,建,70,20220317,4","18","99696316","20","145","7","9977357","21","9977357","27","0","1"
"KSHV,109,建上,33,20220316,1","19","7248666000","20","117","12","632825083","21","510942507","22","1","1"
"HLHV,109,建上,6,20220413,1","20","1852588","20","178","7","7057320","21","5909864","27","1","1"
"PCDV,109,建,93,20220412,1","21","3110410","20","690","6","17950675","21","7202339","22","1","1"
"TYDV,109,建,32,20220408,1","22","31210005","20","160","18","5072569","21","5072569","27","0","1"
"TPDV,110,建,177,20220407,1","23","8600000","20","30","7","1058423","21","1058423","27","0","1"
"TPDV,103,建,430,20220531,1","24","35802452","12","150","13","27160490","21","3395567","22","1","1"
"TCHV,111,建上更一,6,20220531,1","25","26602465","20","355","7","5268293","21","5268293","27","0","1"
"TCHV,110,建上,69,20220621,1","26","4393226","12","420","12","4393226","15","3798717","27","1","1"
"TCHV,108,建上更一,25,20220614,1","27","4396823","0","44","12","99927796","21","2990007","27","1","1"
"PCDV,109,建,79,20220630,1","28","6405309","7","24","13","8184863","21","8184863","27","0","1"
"TPHV,109,建上,30,20220803,2","29","53390000","20","900","13","78197142","21","35663175","27","1","1"
"TPHV,109,建上,31,20220803,2","30","53390000","20","900","13","78197142","21","35663175","27","1","1"
"TPHV,107,建上,43,20220823,1","31","81269886","0","23","6","97910051","6","967672","27","1","1"
"TPDV,109,建,151,20221031,2","32","50700000","12","117","18","29893589","21","29893589","27","0","1"
"TNHV,109,建上,22,20221011,1","33","37300000","5","210","12","440838","21","396754","27","1","1"
"ULDV,111,訴,67,20221004,1","34","1565800","20","120","13","1565800","21","1221324","22","1","1"
"TPDV,105,建,293,20221130,3","35","","","30","12","6231023","15","6230650","27","1","1"
"KSDV,107,建,28,20221130,2","36","508870777","5","347","18","839888","21","38480","27","1","1"
"TPHV,110,建上,9,20221230,1","37","68832878","12","614","13","83819608","21","83819608","27","0","1"
"CYDV,109,建,4,20230109,3","38","17440853","20","7","13","3487008","21","3487008","27","0","1"
"TPHV,109,建上,50,20230117,1","39","75418880","20","16","18","75418880","21","74215680","27","1","1"
"TPDV,111,建,106,20230119,1","40","96156326","15","26","13","20007945","21","20007945","27","0","1"
"TPHV,107,建上,38,20230221,1","41","88548712","20","26","13","37709742","21","37709742","27","0","1"
"TPDV,110,建,16,20230214,1","42","54285523","20","23","18","2714276","15","2692562","22","1","1"
"TPDV,107,建,250,20230331,1","43","429506776","20","661","6","429506776","15","8409800","27","1","1"
"TPHV,111,建上,4,20230412,2","44","342876","20","94","18","4054624","21","669926","27","1","1"
"TNHV,111,上更一,30,20230509,1","45","","","188","18","932278","21","932278","27","0","1"
"TPDV,107,建,232,20230630,6","46","82956632","5","4","13","820574","21","820574","27","0","1"
"TPDV,110,重訴,616,20230609,2","47","513965000","20","133","12","18645200","15","18645200","14","0","1"
"KMDV,110,重訴,16,20230606,1","48","38372445","12","487","7","7663613","21","3548000","22","1","1"
"HLHV,111,建上更二,3,20230616,1","49","10223000","15","101","13","2044600","21","644049","27","1","1"
"PCDV,110,建,49,20230630,2","50","698000","12","66","12","3528000","21","2430005","27","1","1"
"TCHV,106,建上,51,20230614,1","51","55678045","5","12","7","55678045","21","38351706","14","1","1"
"KSDV,110,建,48,20230620,1","52","1050007","12","117","13","1883083","21","1425339","27","1","1"
"TCHV,112,重上更三,10,20230728,1","53","64082592","15","","","17000000","15","","","1","0"
"KSHV,109,建上,10,20230823,1","54","82850000","5","98","12","9268283","15","9199612","22","1","1"
"KSDV,110,建,49,20230823,1","55","4919670","12","81","18","4919670","21","4919670","27","0","1"
"TCDV,108,建,142,20230815,1","56","214200000","20","576","18","108750000","15","103080000","27","1","1"
"CYDV,107,建,13,20230921,2","57","52507589","5","29","7","13348403","21","3348403","27","1","1"
"TPHV,109,建上,7,20230913,2","58","43975188","20","30","13","11438984","21","8795038","27","1","1"
"TCDV,110,建,69,20230905,1","59","32500000","20","16","7","32500000","21","8125000","14","1","1"
"TPDV,105,建,330,20231027,2","60","71099123","0","483","6","18600000","15","17196529","22","1","1"
"TPDV,111,建,72,20231130,1","61","94818308","20","54","7","4930552","21","4930552","27","0","1"
"KMDV,110,建,4,20231110,1","62","23161236","0","394","12","19797478","6","118700","22","1","1"
"KSDV,106,建,34,20231226,2","63","314044876","20","200","12","78878862","15","26213286","27","1","1"
"TCDV,110,建,142,20231222,1","64","68645354","0","518","18","72871926","21","72871926","27","0","1"
"TPHV,111,建上,33,20231212,1","65","3110410","-3","22","7","2216599","6","1317158","22","1","1"
"TCDV,111,建,15,20231226,1","66","22162286","5","29","13","17087159","15","3510564","27","1","1"
"TCDV,112,建,3,20240219,2","67","6825000","20","119","13","1935235","21","1935235","27","0","1"
"TNHV,111,重上,118,20240424,1","68","78660000","5","90","1","20006519","15","5980009","27","1","1"
"TPHV,111,建上,61,20240416,1","69","25605137","12","29","18","5438000","21","640128","22","1","1"
"TCDV,112,重訴,315,20240415,1","70","","","1","10","8200333","21","8200333","27","0","1"
"TCDV,112,建,61,20240531,1","71","3023257","20","80","18","2894737","21","1093257","27","1","1"
"PCDV,109,建,4,20240524,1","72","45707021","20","3","4","2842377","21","34737336","7","0","0"
"CYDV,111,建,2,20240607,3","73","3600000","12","176","12","3600000","21","300000","27","1","1"
"SLDV,112,建,32,20240626,1","74","356380000","20","119","18","6815618","21","6815618","27","0","1"
"ILDV,112,建,5,20240605,1","75","86152333","20","26","7","670446175","21","70446175","27","1","1"
"TCDV,109,建,56,20240607,1","76","5107858","12","77","12","593663","15","21732778","2","0","0"
"TNHV,111,建上更一,2,20240731,2","77","4086012","20","10","12","2875607","21","2875607","27","0","1"
"TPHV,110,重上更一,166,20240730,1","78","1567261","0","23","7","1463906","21","1463906","27","0","1"
"TCHV,112,建上,55,20240918,1","79","58103549","20","435","12","45345522","15","45345522","27","0","1"
"TPDV,112,建,171,20240913,2","80","54401738","20","283","12","3079040","21","1812369","27","1","1"
"TPDV,107,建,240,20240913,1","81","3407250","20","100","7","1675856","21","1317006","27","1","1"
"TPDV,112,建,47,20240906,1","82","2613339","0","426","7","1278000","21","1278000","27","0","1"
"SLDV,112,建,44,20240924,1","83","608316","12","44","7","3339600","21","75900","22","1","1"
"TCHV,112,建上更一,36,20240925,1","84","2500","5","503","1","4134439","21","4134439","27","0","1"
"TCDV,111,建,99,20241025,1","85","","","44","18","3600000","21","","","1","0"
"CYDV,109,建,13,20241118,6","86","85275000","20","413","12","136290000","15","98448887","22","1","1"
"TCHV,111,建上,84,20241210,1","87","3916593","20","200","12","3916593","13","3916593","27","0","1"
"SCDV,113,建,6,20241231,1","88","5003633","12","74","12","4107148","15","3996955","27","1","1"
"TCDV,112,建,14,20250122,1","89","579337881","20","229","18","149063636","15","115867576","27","1","1"
"TNHV,112,建上,25,20250213,1","90","52507589","5","20","13","13348403","21","13348403","27","0","1"
"KSHV,112,建上,5,20250226,2","91","508839888","20","48","18","97226920","21","84649525","27","1","1"
"KSDV,112,訴,602,20250227,1","92","22433400","20","412","12","9888000","21","9888000","27","0","1"
"KMHV,110,重上,3,20250221,2","93","46445000","12","165","18","46445000","21","46445000","27","0","1"
"CYDV,110,建,34,20250317,1","94","70590","15","283","7","1302880","21","631890","27","1","1"
"TPHV,112,重上更一,108,20250319,1","95","91797045","20","31","1","21390000","21","13553273","22","1","1"
"TPDV,112,建,114,20250430,1","96","63000000","20","18","7","52442727","21","47917344","22","1","1"
"TPHV,109,建上,85,20250422,1","97","5139668","20","200","7","46792515","21","8826","27","1","1"
"TPHV,107,建上,3,20250408,1","98","9534937","20","9","18","23223904","6","9040000","27","1","1"
"ULDV,112,建,10,20250529,1","99","10489482","0","","","10489482","21","10489482","27","0","1"
"TNHV,113,建上,14,20250508,1","100","3543378","0","48","13","3543378","21","3543378","27","0","1"
"ULDV,113,建,3,20250620,2","101","27582680","0","668","18","94750","21","27576","27","1","1"
"CHDV,111,建,48,20250619,1","102","82590623","20","10","12","92930001","15","15840001","27","1","1"
"ULDV,113,建,10,20250630,1","103","29640000","15","28","13","33557955","21","33557955","27","0","1"
"TPHV,113,建上,46,20250610,1","104","70446175","12","21","13","30426783","21","4527978","27","1","1"
"PCDV,113,訴,1122,20250731,1","105","984749","20","31","7","984749","15","720077","27","1","1"
"TPDV,114,建,6,20250912,1","106","50921424","20","47","1","10184284","21","8628252","22","1","1"
"TCDV,110,建,45,20250912,2","107","342038","15","19","13","21379167","21","21379167","27","0","1"
"TPDV,113,建,253,20251022,1","108","90474137","20","19","7","41590398","21","29514136","19","1","1"
"TCDV,110,建,70,20251128,1","109","45388","12","30","7","453879280","21","453879280","27","0","1"
"TNDV,113,訴,1627,20251121,1","110","27279000","20","8","13","27279000","15","1678689","27","1","1"
"CHDV,111,建,49,20251126,1","111","4580000","20","294","12","2010000","21","1110002","22","1","1"
"TNHV,110,建上,18,20251226,1","112","23186007","20","1","11","97242922","15","25529868","22","1","1"
"CYDV,114,重訴,12,20251230,1","113","370028888","5","60","7","16946000","21","16946000","27","0","1"
"TPDV,113,建,266,20251224,4","114","47123810","20","1","10","174900","21","8962","27","1","1"
"KSHV,114,上,88,20251217,1","115","22433400","20","59","12","9888000","21","9888000","27","0","1"
"KSDV,109,建,81,20260213,1","116","117000000","20","600","13","22499888","15","12379911","27","1","1"
"TPHV,113,重上,4,20260429,1","117","513965000","20","570","12","14000000","21","14000000","27","0","1"
"KSHV,107,建上,26,20260415,2","118","62429041","20","31","7","95595962","21","42492075","27","1","1"
"TPDV,113,建,132,20260424,2","119","72863168","20","21","7","72286885","21","72286885","27","0","1"
"TPDV,113,建,272,20260409,1","120","1000000","20","45","18","1631200","6","1277599","22","1","1"
