"model","split","n","positives","negatives","accuracy","precision","recall","f1","roc_auc"
"majority_baseline","train_2021_2023","66","43","23","0.6515","0.6515","1","0.789","0.5"
"majority_baseline","validation_2024","22","11","11","0.5","0.5","1","0.6667","0.5"
"majority_baseline","test_2025","27","17","10","0.6296","0.6296","1","0.7727","0.5"
"majority_baseline","latest_2026","5","3","2","0.6","0.6","1","0.75","0.5"
"keyword_rule_baseline","train_2021_2023","66","43","23","0.6515","0.6515","1","0.789","0.5"
"keyword_rule_baseline","validation_2024","22","11","11","0.5","0.5","1","0.6667","0.5"
"keyword_rule_baseline","test_2025","27","17","10","0.6296","0.6296","1","0.7727","0.5"
"keyword_rule_baseline","latest_2026","5","3","2","0.6","0.6","1","0.75","0.5"
"logistic_regression_l2","train_2021_2023","66","43","23","0.7273","0.766","0.8372","0.8","0.7796"
"logistic_regression_l2","validation_2024","22","11","11","0.6364","0.5882","0.9091","0.7143","0.6446"
"logistic_regression_l2","test_2025","27","17","10","0.5926","0.6364","0.8235","0.7179","0.6412"
"logistic_regression_l2","latest_2026","5","3","2","0.4","0.5","0.6667","0.5714","0.5"
