model,split,n,mae,rmse,r2,bucket_accuracy
mean_baseline,train_2021_2023,425,0.3346,0.3688,0.0,0.1788
mean_baseline,validation_2024,141,0.3522,0.3817,-0.0019,0.1277
mean_baseline,test_2025,164,0.3351,0.3699,-0.0013,0.1585
mean_baseline,latest_2026,35,0.3328,0.3749,-0.0085,0.1714
ridge_regression_l2,train_2021_2023,425,0.3246,0.3603,0.0458,0.1718
ridge_regression_l2,validation_2024,141,0.3451,0.3785,0.015,0.1418
ridge_regression_l2,test_2025,164,0.3343,0.372,-0.0128,0.1341
ridge_regression_l2,latest_2026,35,0.3568,0.397,-0.1306,0.1714
lasso_regression_l1,train_2021_2023,425,0.3253,0.3605,0.0446,0.1741
lasso_regression_l1,validation_2024,141,0.3454,0.3787,0.0139,0.1348
lasso_regression_l1,test_2025,164,0.3342,0.3721,-0.013,0.1341
lasso_regression_l1,latest_2026,35,0.3542,0.3965,-0.128,0.1714
elastic_net,train_2021_2023,425,0.3248,0.3603,0.0455,0.1718
elastic_net,validation_2024,141,0.3451,0.3787,0.014,0.1348
elastic_net,test_2025,164,0.3342,0.3723,-0.0143,0.128
elastic_net,latest_2026,35,0.3561,0.3981,-0.1368,0.1714
random_forest,train_2021_2023,425,0.3041,0.338,0.1602,0.2
random_forest,validation_2024,141,0.3489,0.3821,-0.0038,0.1418
random_forest,test_2025,164,0.3386,0.3771,-0.0404,0.1341
random_forest,latest_2026,35,0.3488,0.3968,-0.1297,0.1429
extra_trees,train_2021_2023,425,0.322,0.3569,0.0633,0.1765
extra_trees,validation_2024,141,0.3458,0.3752,0.0322,0.1277
extra_trees,test_2025,164,0.3384,0.3744,-0.0259,0.1585
extra_trees,latest_2026,35,0.3475,0.3885,-0.0827,0.1714
gradient_boosting,train_2021_2023,425,0.3205,0.3548,0.0747,0.1976
gradient_boosting,validation_2024,141,0.3489,0.3806,0.0042,0.1631
gradient_boosting,test_2025,164,0.34,0.3778,-0.0446,0.122
gradient_boosting,latest_2026,35,0.3384,0.3892,-0.0864,0.1714
hist_gradient_boosting,train_2021_2023,425,0.2675,0.3027,0.3262,0.2165
hist_gradient_boosting,validation_2024,141,0.3499,0.3887,-0.039,0.0993
hist_gradient_boosting,test_2025,164,0.3331,0.3763,-0.0362,0.1402
hist_gradient_boosting,latest_2026,35,0.3706,0.4139,-0.2289,0.0857
